Country,Pop,X,Y,GHI,SolarRestriction,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,X_deg,Y_deg,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
Benin,28397.92773,182.9864197,692.6239013999998,2119,1.0,0.0,3.0,9,4.0,0.149440676,12.0,27.1664505,27.1664505,48.89160919,1.01384306,38.3324852,290.09899900000005,7616,1.643794976028195,6.251273364690442,5,1,3,5,5,3.86,1.1037024664341613,0.0,35598.06072210915,1,59517.94554531561,1,23919.884823206463
Benin,8984.24707,192.9864197,692.6239013999998,2111,0.0,0.0,0.0,0,0.0,0.0,0.0,30.46560097,30.46560097,58.80089951,0.629012406,29.68232918,290.09899900000005,7616,1.7336265044401469,6.251273364690442,5,1,1,5,5,3.08,1.0485912338854266,0.0,11262.151794351763,1,18829.68126977205,1,7567.529475420286
Benin,910.9674072,202.9864197,692.6239013999998,0,0.0,0.0,0.0,0,0.0,0.0,0.0,33.72741699,33.72741699,68.73646545,2.407919407,22.19689369,290.09899900000005,7616,1.823458032852099,6.251273364690442,5,1,1,5,5,3.08,1.0485912338854266,0.0,1141.9380099030886,0,1422.8630272480407,0,1422.8630272480407
Benin,104.3804092,212.9864197,692.6239013999998,0,0.0,0.0,0.0,0,0.0,0.0,0.0,36.98988342,36.98988342,78.68836212,8.385159492,17.44601631,290.09899900000005,7616,1.9132895612640513,6.251273364690442,4,1,1,5,5,3.0300000000000002,1.0461532799189008,0.0,130.8454680295153,0,163.0344004031907,0,163.0344004031907
Benin,28618.33984,192.9864197,702.6239013999998,2076,1.0,0.0,0.0,0,2.0,0.149440676,14.0,21.0121479,21.0121479,60.84114075,7.151635647000001,25.36706924,290.09899900000005,7616,1.7336265044401469,6.341157567799855,4,1,5,5,5,4.59,1.2014704120581874,0.0,35874.35706845767,1,59979.89742029872,1,24105.540351841053
Benin,13712.57715,202.9864197,702.6239013999998,2076,1.0,5.0,3.0,0,5.0,0.4483138920000001,14.0,24.27526855,24.27526855,70.48972321,3.250857353,15.97340298,290.09899900000005,7616,1.823458032852099,6.341157567799855,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,17189.323062000287,1,28739.576628947183,1,11550.253566946896
Benin,13734.46484,212.9864197,702.6239013999998,2076,0.0,5.0,1.0,0,1.0,0.52833879,12.0,27.53598022,27.53598022,80.22441864,0.7848953009999999,8.173798561,290.09899900000005,7616,1.9132895612640513,6.341157567799855,5,1,3,5,5,3.86,1.1037024664341613,0.07743075958216943,17216.760251259122,1,28785.4500586537,1,11568.689807394578
Benin,15873.10449,222.9864197,702.6239013999998,2084,1.0,5.0,2.0,0,3.0,0.616137326,14.0,30.28236008,30.28236008,84.38218689,3.76575923,8.858463287000001,290.09899900000005,7616,2.0031210896760037,6.341157567799855,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,19897.63981568536,1,33267.72916859327,1,13370.089352907911
Benin,60886.51172,232.9864197,702.6239013999998,2084,1.0,5.0,0.0,7,4.0,0.6765915159999999,14.0,24.12049866,24.12049866,76.05701447,0.948213816,17.03331184,290.09899900000005,7616,2.0929526180879554,6.341157567799855,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,76323.94032316141,1,127609.31443483116,1,51285.37411166975
Benin,8071.568359000001,242.9864197,702.6239013999998,2084,0.0,6.0,1.0,0,3.0,0.236285657,12.0,17.95863533,17.95863533,68.18347168,3.626715183,26.49141502,290.09899900000005,7616,2.1827841464999076,6.341157567799855,5,1,3,5,5,3.86,1.1037024664341613,0.13746231139593137,10118.068589307482,1,16916.83881386702,1,6798.770224559537
